sample_id	location_info	parsed_city	parsed_country	parsed_latitude	parsed_longitude
CHN	Beijing, China (39.96122089834706, 116.32573542242979)	Beijing	China	39.96122089834706	116.32573542242979
CHN104	Beijing, China (39.96122089834706, 116.32573542242979)	Beijing	China	39.96122089834706	116.32573542242979
CHN11	Beijing, China (39.96122089834706, 116.32573542242979)	Beijing	China	39.96122089834706	116.32573542242979
CHN12	Beijing, China (39.96122089834706, 116.32573542242979)	Beijing	China	39.96122089834706	116.32573542242979
CHN59	Beijing, China (39.96122089834706, 116.32573542242979)	Beijing	China	39.96122089834706	116.32573542242979
CZE10	Prague, CZE (50.1356369N, 14.3736336E)	Prague	CZE	50.1356369	14.3736336
CZE14	Prague, CZE (50.1356369N, 14.3736336E)	Prague	CZE	50.1356369	14.3736336
CZE15	Prague, CZE (50.1356369N, 14.3736336E)	Prague	CZE	50.1356369	14.3736336
CZE7	Prague, CZE (50.1356369N, 14.3736336E)	Prague	CZE	50.1356369	14.3736336
CZE8	Prague, CZE (50.1356369N, 14.3736336E)	Prague	CZE	50.1356369	14.3736336
CZE9	Prague, CZE (50.1356369N, 14.3736336E)	Prague	CZE	50.1356369	14.3736336
DEU10	Leipzig, GER (51.3351878N, 12.3761556E)	Leipzig	GER	51.3351878	12.3761556
DEU11	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DEU12	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DEU13	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DEU14	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DEU15	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DEU5	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DEU7	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DEU8	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DEU9	Leipzig, GER (51.3351878N, 12.3761556E) 	Leipzig	GER	51.3351878	12.3761556
DNK1	Kobenhavn, DEN (55.7013658N, 12.5082458E)	Kobenhavn	DEN	55.7013658	12.5082458
DNK2	Kobenhavn, DEN (55.7013658N, 12.5082458E)	Kobenhavn	DEN	55.7013658	12.5082458
DNK3	Kobenhavn, DEN (55.7013658N, 12.5082458E)	Kobenhavn	DEN	55.7013658	12.5082458
DNK4	Kobenhavn, DEN (55.7013658N, 12.5082458E)	Kobenhavn	DEN	55.7013658	12.5082458
ESP1	Santa Maria de Hito, ESP (42.8447569N, 3.8790050W)	Santa Maria de Hito	ESP	42.8447569	-3.879005
ESP2	Santa Maria de Hito, ESP (42.8447569N, 3.8790050W)	Santa Maria de Hito	ESP	42.8447569	-3.879005
