sample_id	population	country	city	latitude	longitude	continent
CHN	Asia	China	Beijing	39.96122089834706	116.32573542242979	Asia
CHN104	Asia	China	Beijing	39.96122089834706	116.32573542242979	Asia
CHN11	Asia	China	Beijing	39.96122089834706	116.32573542242979	Asia
CHN12	Asia	China	Beijing	39.96122089834706	116.32573542242979	Asia
CHN59	Europe	China	Beijing	39.96122089834706	116.32573542242979	Europe
CZE10	Europe	CZE	Prague	50.1356369	14.3736336	Europe
CZE14	Europe	CZE	Prague	50.1356369	14.3736336	Europe
CZE15	Europe	CZE	Prague	50.1356369	14.3736336	Europe
CZE7	Europe	CZE	Prague	50.1356369	14.3736336	Europe
CZE8	Europe	CZE	Prague	50.1356369	14.3736336	Europe
CZE9	Europe	CZE	Prague	50.1356369	14.3736336	Europe
DEU10	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU11	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU12	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU13	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU14	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU15	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU5	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU7	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU8	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DEU9	Europe	GER	Leipzig	51.3351878	12.3761556	Europe
DNK1	Europe	DEN	Kobenhavn	55.7013658	12.5082458	Europe
DNK2	Europe	DEN	Kobenhavn	55.7013658	12.5082458	Europe
DNK3	Europe	DEN	Kobenhavn	55.7013658	12.5082458	Europe
DNK4	Europe	DEN	Kobenhavn	55.7013658	12.5082458	Europe
ESP1	Europe	ESP	Santa Maria de Hito	42.8447569	-3.879005	Europe
ESP2	Europe	ESP	Santa Maria de Hito	42.8447569	-3.879005	Europe
ESP3	Europe	ESP	Santa Maria de Hito	42.8447569	-3.879005	Europe
EST10	Europe	EST	Köpu	58.3332575	25.3174036	Europe
EST4	Europe	EST	Köpu	58.3332575	25.3174036	Europe
EST5	Europe	EST	Köpu	58.3332575	25.3174036	Europe
EST6	Europe	EST	Köpu	58.3332575	25.3174036	Europe
EST7	Europe	EST	Köpu	58.3332575	25.3174036	Europe
EST8	Europe	EST	Köpu	58.3332575	25.3174036	Europe
GRC1	Europe	GRE	Crete	35.2684119	25.5830503	Europe
GRC2	Europe	GRE	Crete	35.2684119	25.5830503	Europe
ITA1	Europe	ITA	Montan-Mantagna	46.3275486	11.2931811	Europe
MUS105	North_America	KS	Manhattan	39.20118318845669	-96.5989651203551	North America
MUS107	North_America	KS	Manhattan	39.20118318845669	-96.5989651203551	North America
MUS113	North_America	IA	Urbandale	41.63097089481056	-93.75482382821943	North America
MUS114	North_America	IA	Urbandale	41.63097089481056	-93.75482382821943	North America
MUS119	North_America	KS	Lawrence	38.971036928277755	-95.2349556527346	North America
MUS120	North_America	KS	Lawrence	38.971036928277755	-95.2349556527346	North America
MUS65	North_America	KS	Lawrence	38.971036928277755	-95.2349556527346	North America
MUS69	North_America	KS	Manhattan	39.20118318845669	-96.5989651203551	North America
MUS71	North_America	KS	Manhattan	39.20118318845669	-96.5989651203551	North America
MUS75	North_America	KS	Lawrence	38.971036928277755	-95.2349556527346	North America
NLD1	Europe	The Netherlands	Maastricht	50.851407563802766	5.696080963225797	Europe
NLD10	Europe	The Netherlands	Maastricht	50.851407563802766	5.696080963225797	Europe
NLD2	Europe	The Netherlands	Maastricht	50.851407563802766	5.696080963225797	Europe
NLD3	Europe	The Netherlands	Maastricht	50.851407563802766	5.696080963225797	Europe
NLD4	Europe	The Netherlands	Maastricht	50.851407563802766	5.696080963225797	Europe
NLD5	Europe	The Netherlands	Maastricht	50.851407563802766	5.696080963225797	Europe
NLD7	Europe	The Netherlands	Maastricht	50.851407563802766	5.696080963225797	Europe
NUS110	North_America	NY	Watertown	43.97220901759966	-75.9065778212551	North America
NUS116	North_America	NY	Fayetteville	43.03019195435349	-76.00529981907906	North America
NUS117	North_America	NY	Fayetteville	43.03019195435349	-76.00529981907906	North America
NUS56	North_America	NY	Watertown	43.97220901759966	-75.9065778212551	North America
NUS57	North_America	NY	Watertown	43.97220901759966	-75.9065778212551	North America
NUS7	North_America	NY	Fayetteville	43.03019195435349	-76.00529981907906	North America
NUS79	North_America	NY	Watertown	43.97220901759966	-75.9065778212551	North America
NUS81	North_America	NY	Watertown	43.97220901759966	-75.9065778212551	North America
NUS82	North_America	NY	Watertown	43.97220901759966	-75.9065778212551	North America
NUS83	North_America	NY	Watertown	43.97220901759966	-75.9065778212551	North America
SUS1	North_America	KY	UK North Farm	38.104316835223905	-84.4868273170384	North America
SUS115	North_America	KY	Princeton	37.10863029411903	-87.88250832261102	North America
SUS29	North_America	KY	UK North Farm	38.104316835223905	-84.4868273170384	North America
SUS30	North_America	KY	UK North Farm	38.104316835223905	-84.4868273170384	North America
SUS40	North_America	VA	Blacksburg	37.23003637882756	-80.41828751521994	North America
SUS5	North_America	KY	UK Tobacco Farm	38.02660914811917	-84.50843070169974	North America
SUS66	North_America	VA	Blacksburg	37.23003637882756	-80.41828751521994	North America
SUS67	North_America	VA	Blacksburg	37.23003637882756	-80.41828751521994	North America
SUS72	North_America	KY	UK Tobacco Farm	38.02660914811917	-84.50843070169974	North America
SUS77	North_America	KY	Princeton	37.10863029411903	-87.88250832261102	North America
SVK1	Europe	SVK	Nová Sedlica	49.0445542	22.5163433	Europe
SVK2	Europe	SVK	Nová Sedlica	49.0445542	22.5163433	Europe
SVK3	Europe	SVK	Nová Sedlica	49.0445542	22.5163433	Europe
SVK4	Europe	SVK	Nová Sedlica	49.0445542	22.5163433	Europe
WUS1	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS10	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS2	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS3	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS4	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS5	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS6	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS7	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS8	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
WUS9	North_America	CA	Sacramento	38.57989607729144	-121.50981815811458	North America
