"CHROM","BIN_START","TajD_Europe","pi_Europe"
"NC_058193.1",0,-1.00637,NA
"NC_058193.1",1,NA,1.22261e-05
"NC_058193.1",10000,NA,NA
"NC_058193.1",20000,NA,NA
"NC_058193.1",30000,NA,NA
"NC_058193.1",40000,NA,NA
"NC_058193.1",50000,NA,NA
"NC_058193.1",60000,NA,NA
"NC_058193.1",70000,NA,NA
"NC_058193.1",80000,NA,NA
"NC_058193.1",90000,NA,NA
"NC_058193.1",100000,NA,NA
"NC_058193.1",110000,NA,NA
"NC_058193.1",120000,NA,NA
"NC_058193.1",130000,NA,NA
"NC_058193.1",140000,NA,NA
"NC_058193.1",150000,NA,NA
"NC_058193.1",160000,NA,NA
"NC_058193.1",170000,NA,NA
"NC_058193.1",180000,NA,NA
"NC_058193.1",190000,1.18113,NA
"NC_058193.1",190001,NA,0.000107695
"NC_058193.1",200000,NA,NA
"NC_058193.1",210000,-0.854385,NA
"NC_058193.1",210001,NA,7.33896e-05
"NC_058193.1",220000,NA,NA
"NC_058193.1",230000,NA,NA
"NC_058193.1",240000,NA,NA
"NC_058193.1",250000,-0.21718,NA
"NC_058193.1",250001,NA,1.33492e-05
"NC_058193.1",260000,NA,NA
"NC_058193.1",270000,NA,NA
"NC_058193.1",280000,NA,NA
"NC_058193.1",290000,NA,NA
"NC_058193.1",300000,-1.01821,NA
"NC_058193.1",300001,NA,1.21738e-05
"NC_058193.1",310000,-0.941484,NA
"NC_058193.1",310001,NA,5.79205e-05
"NC_058193.1",320000,NA,NA
"NC_058193.1",330000,NA,NA
"NC_058193.1",340000,NA,NA
"NC_058193.1",350000,NA,NA
"NC_058193.1",360000,NA,NA
"NC_058193.1",370000,NA,NA
"NC_058193.1",380000,NA,NA
"NC_058193.1",390000,NA,NA
"NC_058193.1",400000,NA,NA
"NC_058193.1",410000,NA,NA
"NC_058193.1",420000,NA,NA
"NC_058193.1",430000,NA,NA
"NC_058193.1",440000,NA,NA
"NC_058193.1",450000,NA,NA
"NC_058193.1",460000,NA,NA
"NC_058193.1",470000,NA,NA
"NC_058193.1",480000,NA,NA
"NC_058193.1",490000,NA,NA
"NC_058193.1",500000,NA,NA
"NC_058193.1",510000,NA,NA
"NC_058193.1",520000,NA,NA
"NC_058193.1",530000,NA,NA
"NC_058193.1",540000,-0.706864,NA
"NC_058193.1",540001,NA,1.71637e-05
"NC_058193.1",550000,NA,NA
"NC_058193.1",560000,NA,NA
"NC_058193.1",570000,-1.025,NA
"NC_058193.1",570001,NA,2.01154e-06
"NC_058193.1",580000,NA,NA
"NC_058193.1",590000,-0.25708,NA
"NC_058193.1",590001,NA,2.60461e-05
"NC_058193.1",600000,NA,NA
"NC_058193.1",610000,NA,NA
"NC_058193.1",620000,NA,NA
"NC_058193.1",630000,NA,NA
"NC_058193.1",640000,NA,NA
"NC_058193.1",650000,NA,NA
"NC_058193.1",660000,NA,NA
"NC_058193.1",670000,NA,NA
"NC_058193.1",680000,NA,NA
"NC_058193.1",690000,NA,NA
"NC_058193.1",700000,NA,NA
"NC_058193.1",710000,NA,NA
"NC_058193.1",720000,-0.242407,NA
"NC_058193.1",720001,NA,5.46026e-05
"NC_058193.1",730000,NA,NA
"NC_058193.1",740000,NA,NA
"NC_058193.1",750000,NA,NA
"NC_058193.1",760000,NA,NA
"NC_058193.1",770000,NA,NA
"NC_058193.1",780000,NA,NA
"NC_058193.1",790000,NA,NA
"NC_058193.1",800000,NA,NA
"NC_058193.1",810000,NA,NA
"NC_058193.1",820000,NA,NA
"NC_058193.1",830000,NA,NA
"NC_058193.1",840000,NA,NA
"NC_058193.1",850000,NA,NA
"NC_058193.1",860000,-1.5612,NA
"NC_058193.1",860001,NA,6.91373e-05
"NC_058193.1",870000,NA,NA
"NC_058193.1",880000,NA,NA
"NC_058193.1",890000,NA,NA
"NC_058193.1",900000,-0.616755,NA
"NC_058193.1",900001,NA,8.03622e-05
"NC_058193.1",910000,NA,NA
"NC_058193.1",920000,NA,NA
"NC_058193.1",930000,NA,NA
"NC_058193.1",940000,NA,NA
"NC_058193.1",950000,NA,NA
"NC_058193.1",960000,-1.12479,NA
"NC_058193.1",960001,NA,0.000204802
"NC_058193.1",970000,-0.89107,NA
"NC_058193.1",970001,NA,8.11948e-05
"NC_058193.1",980000,NA,NA
"NC_058193.1",990000,0.187413,NA
"NC_058193.1",990001,NA,3.48239e-05
"NC_058193.1",1000000,-0.476802,NA
"NC_058193.1",1000001,NA,5.41574e-05
"NC_058193.1",1010000,-0.777383,NA
"NC_058193.1",1010001,NA,0.000172847
"NC_058193.1",1020000,NA,NA
"NC_058193.1",1030000,-0.781401,NA
"NC_058193.1",1030001,NA,0.00011016
"NC_058193.1",1040000,NA,NA
"NC_058193.1",1050000,-0.253479,NA
"NC_058193.1",1050001,NA,6.79529e-05
"NC_058193.1",1060000,NA,NA
"NC_058193.1",1070000,NA,NA
"NC_058193.1",1080000,-0.811399,NA
"NC_058193.1",1080001,NA,4.13031e-05
"NC_058193.1",1090000,NA,NA
"NC_058193.1",1100000,-0.8841,NA
"NC_058193.1",1100001,NA,4.07531e-06
"NC_058193.1",1110000,NA,NA
"NC_058193.1",1120000,NA,NA
"NC_058193.1",1130000,NA,NA
"NC_058193.1",1140000,-0.472676,NA
"NC_058193.1",1140001,NA,9.79641e-06
"NC_058193.1",1150000,NA,NA
"NC_058193.1",1160000,NA,NA
"NC_058193.1",1170000,-1.02876,NA
"NC_058193.1",1170001,NA,2.06378e-06
"NC_058193.1",1180000,NA,NA
"NC_058193.1",1190000,NA,NA
"NC_058193.1",1200000,-0.592207,NA
"NC_058193.1",1200001,NA,7.73266e-06
"NC_058193.1",1210000,NA,NA
"NC_058193.1",1220000,NA,NA
"NC_058193.1",1230000,NA,NA
"NC_058193.1",1240000,NA,NA
"NC_058193.1",1250000,NA,NA
"NC_058193.1",1260000,-1.29967,NA
"NC_058193.1",1260001,NA,2.45051e-05
"NC_058193.1",1270000,NA,NA
"NC_058193.1",1280000,NA,NA
"NC_058193.1",1290000,-0.0487863,NA
"NC_058193.1",1290001,NA,4.75993e-05
"NC_058193.1",1300000,0.618672,NA
"NC_058193.1",1300001,NA,0.000121097
"NC_058193.1",1310000,NA,NA
"NC_058193.1",1320000,1.42875,NA
"NC_058193.1",1320001,NA,0.000107558
"NC_058193.1",1330000,NA,NA
"NC_058193.1",1340000,NA,NA
"NC_058193.1",1350000,NA,NA
"NC_058193.1",1360000,NA,NA
"NC_058193.1",1370000,-0.876783,NA
"NC_058193.1",1370001,NA,3.97083e-06
"NC_058193.1",1380000,NA,NA
"NC_058193.1",1390000,-0.302895,NA
"NC_058193.1",1390001,NA,1.09721e-05
"NC_058193.1",1400000,2.44566,NA
"NC_058193.1",1400001,NA,8.14818e-05
"NC_058193.1",1410000,NA,NA
"NC_058193.1",1420000,NA,NA
"NC_058193.1",1430000,0.0837835,NA
"NC_058193.1",1430001,NA,1.93314e-05
"NC_058193.1",1440000,NA,NA
"NC_058193.1",1450000,NA,NA
"NC_058193.1",1460000,NA,NA
"NC_058193.1",1470000,NA,NA
"NC_058193.1",1480000,NA,NA
"NC_058193.1",1490000,-1.02876,NA
"NC_058193.1",1490001,NA,2.06378e-06
"NC_058193.1",1500000,-0.197049,NA
"NC_058193.1",1500001,NA,0.000153214
"NC_058193.1",1510000,0.830968,NA
"NC_058193.1",1510001,NA,0.000115942
"NC_058193.1",1520000,-0.555014,NA
"NC_058193.1",1520001,NA,0.000732779
"NC_058193.1",1530000,-0.60606,NA
"NC_058193.1",1530001,NA,7.94162e-06
"NC_058193.1",1540000,0.481508,NA
"NC_058193.1",1540001,NA,0.000137032
"NC_058193.1",1550000,-0.92071,NA
"NC_058193.1",1550001,NA,0.000178454
"NC_058193.1",1560000,-0.242563,NA
"NC_058193.1",1560001,NA,9.22735e-05
"NC_058193.1",1570000,-0.559378,NA
"NC_058193.1",1570001,NA,0.000405965
"NC_058193.1",1580000,NA,NA
"NC_058193.1",1590000,-0.5764,NA
"NC_058193.1",1590001,NA,0.000343592
